world_rank,university_name,country,teaching,international,research,citations,income,total_score
1,California Institute of Technology,United States of America,94.4,65.8,98.2,99.8,91.2,94.9
2,Harvard University,United States of America,95.3,66.2,98.5,99.1,40.6,93.9
2,University of Oxford,United Kingdom,89,90.2,98.5,95.4,90.3,93.9
4,Stanford University,United States of America,94.7,68,96.8,99.1,61.3,93.8
5,Massachusetts Institute of Technology,United States of America,92.9,82,89,100,94.3,93
6,Princeton University,United States of America,89.9,59.6,97.6,99.7,80.5,92.7
7,University of Cambridge,United Kingdom,90.6,86.7,95.3,95.7,52.8,92.3
8,"University of California, Berkeley",United States of America,83.2,57.3,97.5,99.3,59.5,89.8
9,University of Chicago,United States of America,85.6,58.6,88.2,98,50.82,87.8
10,Imperial College London,United Kingdom,84.5,91.8,88.1,90,72.3,87.5
11,Yale University,United States of America,89.5,57.6,90.5,93.5,38.7,87.4
12,"University of California, Los Angeles",United States of America,84.8,46.4,91,95.6,50.82,86.3
13,Columbia University,United States of America,86.6,68,79.1,95.6,50.82,85.2
14,ETH Zurich ÌÄå¢Ì¢‰Û_åÂÌ¢‰âÂÅÒ Swiss Federal Institute of Technology Zurich,Switzerland,77.6,96.7,88.2,85,78.8,84.5
15,Johns Hopkins University,United States of America,75.7,59.3,85.1,95,100,83.7
16,University of Pennsylvania,United States of America,79.8,40.6,81.2,95,45.2,81
17,Duke University,United States of America,73.9,50,73,96.7,100,79.3
18,University of Michigan,United States of America,70,49.5,86.2,90.8,53.5,79.2
19,Cornell University,United States of America,72.1,55.6,83.8,90.8,35.8,79.1
20,University of Toronto,Canada,73.6,70,81.5,84.5,45.8,78.3
21,University College London,United Kingdom,70.5,90.2,77.5,84.1,46.8,77.6
22,Northwestern University,United States of America,70.2,34.4,76,97.1,61.9,77.1
23,University of Tokyo,Japan,84.7,29.6,88,69.8,56.7,76.4
24,Carnegie Mellon University,United States of America,63.1,58.1,77.4,93.9,52.5,76
25,University of Washington,United States of America,65.6,43.2,69.2,95.6,43.1,73.4
26,National University of Singapore,Singapore,68,94.3,77.8,66.4,64.3,72.4
27,University of Texas at Austin,United States of America,64.7,42.4,69,91.3,59.6,72.2
28,Georgia Institute of Technology,United States of America,59.4,67.8,68.6,87.9,71.3,71.6
29,University of Illinois at Urbana-Champaign,United States of America,66,41.1,78.9,79.4,50.82,71.4
30,University of Wisconsin-Madison,United States of America,69.8,32.3,67.7,87.2,51.2,71.1
