world_rank,university_name,country,teaching,international,research,citations,income,total_score
1,California Institute of Technology,United States of America,95.7,56,98.2,99.9,97,94.8
2,Harvard University,United States of America,95.8,67.5,97.4,99.8,35.9,93.9
2,Stanford University,United States of America,94.8,57.2,98.9,99.8,63.8,93.9
4,University of Oxford,United Kingdom,89.5,91.9,96.6,97.9,62.1,93.6
5,Princeton University,United States of America,91.5,49.6,99.1,100,81,92.9
6,University of Cambridge,United Kingdom,90.5,85.3,94.2,97.3,55.5,92.4
7,Massachusetts Institute of Technology,United States of America,92.7,79.2,87.4,100,94.4,92.3
8,Imperial College London,United Kingdom,88.8,92.2,88.7,93.9,93.1,90.7
9,University of Chicago,United States of America,89.4,58.8,90.8,99.4,51.5,90.2
10,"University of California, Berkeley",United States of America,82.8,50.4,99.4,99.4,62.5,89.8
11,Yale University,United States of America,92.3,55.5,91.2,96.7,34.7,89.1
12,Columbia University,United States of America,89.1,67.6,81.8,97.8,51.5,87.5
13,"University of California, Los Angeles",United States of America,85.9,41,92.5,97.3,51.5,87.3
14,Johns Hopkins University,United States of America,78.9,59.9,86.5,97.3,100,85.8
15,ETH Zurich íëŒ¢äóÁí¢í‰äóÁí_íè Swiss Federal Institute of Technology Zurich,Switzerland,79.1,97.5,85.8,87.2,51.5,85
16,University of Pennsylvania,United States of America,87,34.3,86.1,97.9,41.9,84.9
17,University College London,United Kingdom,77.8,91.8,84.3,89,41.4,83.2
18,University of Michigan,United States of America,75.4,47.2,90,94.3,53.3,82.8
19,University of Toronto,Canada,76.9,69,87.4,86.5,44.9,81.6
20,Cornell University,United States of America,70.4,53.4,87.2,93.5,51.5,80.5
21,Carnegie Mellon University,United States of America,65.7,55,79.5,97.4,60.7,78.4
22,Duke University,United States of America,62.6,46.9,77.9,97.4,100,77.4
22,University of British Columbia,Canada,68.6,88.7,78.6,85.2,40.6,77.4
24,Georgia Institute of Technology,United States of America,66.6,65,73.8,91.9,99.2,77
25,University of Washington,United States of America,70.8,36.9,74,98.2,31.8,76.5
26,Northwestern University,United States of America,66.3,35.3,75.5,98.6,56.6,76.2
27,University of Wisconsin-Madison,United States of America,74.3,23.8,77.3,90.6,55.3,75.8
28,McGill University,Canada,72.8,81.4,78.4,77.1,35.1,75.5
29,University of Texas at Austin,United States of America,69.5,38.8,76.1,89.6,57.7,74.9
30,University of Tokyo,Japan,86.1,23,80.3,69.1,76.6,74.3
